"zhongxin"	"zyhy"	"Date"
3.87	3.51	2014-01-01
3.86	3.52	2014-01-02
3.8	3.35	2014-01-03
3.74	3.23	2014-01-06
3.73	3.2	2014-01-07
3.74	3.17	2014-01-08
3.72	3.18	2014-01-09
3.71	3.16	2014-01-10
3.76	3.05	2014-01-13
3.73	3.04	2014-01-14
3.64	3	2014-01-15
3.63	3.01	2014-01-16
3.59	2.97	2014-01-17
3.59	2.91	2014-01-20
3.62	2.95	2014-01-21
3.67	3.05	2014-01-22
3.64	3.04	2014-01-23
3.65	3.07	2014-01-24
3.63	3.06	2014-01-27
3.69	3.07	2014-01-28
3.72	3.08	2014-01-29
3.61	3.03	2014-01-30
3.61	3.03	2014-01-31
3.61	3.03	2014-02-03
3.61	3.03	2014-02-05
3.61	3.03	2014-02-06
3.64	3.07	2014-02-07
3.8	3.17	2014-02-10
4.18	3.25	2014-02-11
4.52	3.29	2014-02-12
4.95	3.26	2014-02-13
4.86	3.28	2014-02-14
4.81	3.28	2014-02-17
4.69	3.33	2014-02-18
5.16	3.4	2014-02-19
5.08	3.37	2014-02-20
5.17	3.27	2014-02-21
5.17	3.19	2014-02-24
4.94	3.1	2014-02-25
5.09	3.11	2014-02-26
5.33	3.09	2014-02-27
5.27	3.15	2014-02-28
5.13	3.17	2014-03-03
5.03	3.2	2014-03-04
4.98	3.17	2014-03-05
4.85	3.22	2014-03-06
4.89	3.29	2014-03-07
4.88	3.2	2014-03-10
4.97	3.18	2014-03-11
5.47	3.15	2014-03-12
5.33	3.11	2014-03-13
4.89	3.14	2014-03-14
4.56	3.16	2014-03-17
4.66	3.12	2014-03-18
4.6	3.09	2014-03-19
4.46	3.05	2014-03-20
4.7	3.15	2014-03-21
4.73	3.21	2014-03-24
4.61	3.22	2014-03-25
4.58	3.18	2014-03-26
4.67	3.17	2014-03-27
4.6	3.25	2014-03-28
4.63	3.17	2014-03-31
4.66	3.27	2014-04-01
4.69	3.29	2014-04-02
4.57	3.2	2014-04-03
4.59	3.23	2014-04-04
4.59	3.23	2014-04-07
4.72	3.27	2014-04-08
4.72	3.25	2014-04-09
4.75	3.31	2014-04-10
5.09	3.22	2014-04-11
4.99	3.21	2014-04-14
4.85	3.19	2014-04-15
4.86	3.17	2014-04-16
4.79	3.19	2014-04-17
4.79	3.2	2014-04-18
4.7	3.12	2014-04-21
4.9	3.1	2014-04-22
4.83	3.09	2014-04-23
4.84	3.08	2014-04-24
4.93	3.03	2014-04-25
4.85	2.95	2014-04-28
4.89	2.99	2014-04-29
4.81	3.03	2014-04-30
4.81	3.03	2014-05-01
4.81	3.03	2014-05-02
4.72	3.03	2014-05-05
4.67	3.04	2014-05-06
4.5	2.98	2014-05-07
4.54	2.98	2014-05-08
4.51	2.98	2014-05-09
4.58	3.09	2014-05-12
4.54	3.08	2014-05-13
4.53	3.11	2014-05-14
4.49	3.04	2014-05-15
4.31	3.05	2014-05-16
4.19	3.01	2014-05-19
4.19	3.01	2014-05-20
4.27	3.03	2014-05-21
4.26	3	2014-05-22
4.29	3.02	2014-05-23
4.27	3.03	2014-05-26
4.26	3	2014-05-27
4.28	3.03	2014-05-28
4.23	2.99	2014-05-29
4.22	2.98	2014-05-30
4.22	2.98	2014-06-02
4.23	2.97	2014-06-03
4.35	2.95	2014-06-04
4.34	2.96	2014-06-05
4.29	2.95	2014-06-06
4.28	2.93	2014-06-09
4.34	2.97	2014-06-10
4.33	2.97	2014-06-11
4.3	2.99	2014-06-12
4.39	2.99	2014-06-13
4.43	2.96	2014-06-16
4.38	2.94	2014-06-17
4.31	2.93	2014-06-18
4.23	2.87	2014-06-19
4.28	2.88	2014-06-20
4.25	2.89	2014-06-23
4.25	2.88	2014-06-24
4.25	2.87	2014-06-25
4.27	2.91	2014-06-26
4.26	2.94	2014-06-27
4.27	2.93	2014-06-30
4.26	2.95	2014-07-01
4.27	3.05	2014-07-02
4.33	3.19	2014-07-03
4.31	3.09	2014-07-04
4.3	3.04	2014-07-07
4.34	3.07	2014-07-08
4.24	3.04	2014-07-09
4.23	3.03	2014-07-10
4.25	3.12	2014-07-11
4.31	3.13	2014-07-14
4.31	3.15	2014-07-15
4.31	3.2	2014-07-16
4.05	3.17	2014-07-17
4.05	3.14	2014-07-18
4.01	3.14	2014-07-21
4.05	3.18	2014-07-22
4.11	3.15	2014-07-23
4.33	3.19	2014-07-24
4.36	3.23	2014-07-25
4.54	3.3	2014-07-28
4.53	3.26	2014-07-29
4.49	3.24	2014-07-30
4.54	3.28	2014-07-31
4.45	3.22	2014-08-01
4.52	3.29	2014-08-04
4.53	3.29	2014-08-05
4.44	3.36	2014-08-06
4.4	3.31	2014-08-07
4.42	3.3	2014-08-08
4.49	3.35	2014-08-11
4.45	3.34	2014-08-12
4.41	3.35	2014-08-13
4.38	3.61	2014-08-14
4.44	3.54	2014-08-15
4.44	3.64	2014-08-18
4.42	3.61	2014-08-19
4.4	3.61	2014-08-20
4.34	3.54	2014-08-21
4.35	3.8	2014-08-22
4.3	3.88	2014-08-25
4.28	3.85	2014-08-26
4.27	3.78	2014-08-27
4.23	3.8	2014-08-28
4.28	3.83	2014-08-29
4.29	3.82	2014-09-01
4.34	3.96	2014-09-02
4.42	3.96	2014-09-03
4.42	3.97	2014-09-04
4.45	3.96	2014-09-05
4.45	3.96	2014-09-08
4.41	4	2014-09-09
4.4	4.02	2014-09-10
4.36	3.97	2014-09-11
4.37	4	2014-09-12
4.41	3.99	2014-09-15
4.39	3.94	2014-09-16
4.38	3.98	2014-09-17
4.58	3.95	2014-09-18
4.54	3.96	2014-09-19
4.43	3.82	2014-09-22
4.49	3.82	2014-09-23
4.54	3.87	2014-09-24
4.59	3.93	2014-09-25
4.53	3.9	2014-09-26
4.55	3.93	2014-09-29
4.54	3.96	2014-09-30
4.54	3.96	2014-10-01
4.54	3.96	2014-10-02
4.54	3.96	2014-10-03
4.54	3.96	2014-10-06
4.54	3.96	2014-10-07
4.58	4.05	2014-10-08
4.56	4.01	2014-10-09
4.59	3.99	2014-10-10
4.54	4.05	2014-10-13
4.54	4.08	2014-10-14
4.62	4.2	2014-10-15
4.75	4.09	2014-10-16
4.65	4.08	2014-10-17
4.76	4.16	2014-10-20
4.65	4.09	2014-10-21
4.65	4.08	2014-10-22
4.63	3.89	2014-10-23
4.61	3.85	2014-10-24
4.43	3.87	2014-10-27
4.5	4.02	2014-10-28
