Make,lp100km,mass.kg
Alpha Romeo,9.5,1242
Audi A3,8.8,1160
BA Falcon Futura,12.9,1692
Chrysler PT Cruiser Classic,9.8,1412
Commodore VY Acclaim,12.3,1558
Falcon AU II Futura,11.4,1545
Holden Barina,7.3,1062
Hyundai Getz,6.9,980
Hyundai LaVita,8.9,1248
Kia Rio,7.3,1064
Mazda 2,7.9,1068
Mazda Premacy,10.2,1308
Mini Cooper,8.3,1050
Mitsubishi Magna Advance,10.9,1491
Mitsubishi Verada AWD,12.4,1643
Peugeot 307,9.1,1219
Suzuki Liana,8.3,1140
Toyota Avalon CSX,10.8,1520
Toyota Camry Ateva V6,11.5,1505
Toyota Corolla Ascent,7.9,1103
Toyota Corolla Conquest,7.8,1081
